
Activity Table
RecID","MultiSportSessionRecID","NextSportRecID","StartTime","Sport","TotalTimeSeconds","DistanceMeters","VirtualPartner","PlanName","PlanType","IntervalWorkout","Notes","Creator","
1","","","2011-03-20T19:43:32Z","Biking","","","","""","","","""",""Forerunner305"","
2","","","2011-03-26T14:57:43Z","Running","","","","""","","","""",""Forerunner305"","
3","","","2011-03-13T22:25:59Z","Running","","","","""","","","""",""Forerunner305"","
4","","","2011-03-30T14:01:21Z","Running","","","","""","","","""",""Forerunner305"","
5","","","2011-03-08T14:53:11Z","Running","","","","""","","","""",""Forerunner305"","
6","","","2011-03-11T14:37:24Z","Running","","","","""","","","""",""Forerunner305"","
7","","","2011-03-15T13:41:34Z","Running","","","","""","","","""",""Forerunner305"","
8","","","2011-03-17T13:46:53Z","Running","","","","""","","","""",""Forerunner305"","
9","","","2011-03-28T14:03:39Z","Running","","","","""","","","""",""Forerunner305"","
10","","","2011-03-25T13:39:27Z","Running","","","","""","","","""",""Forerunner305"","
11","","","2011-03-24T14:23:02Z","Running","","","","""","","","""",""Forerunner305"","
12","","","2011-03-11T14:36:54Z","Running","","","","""","","","""",""Forerunner305"","
13","","","2011-03-09T15:09:07Z","Running","","","","""","","","""",""Forerunner305"","
14","","","2011-03-04T16:46:33Z","Running","","","","""","","","""",""Forerunner305"","
15","","","2011-03-03T13:23:53Z","Running","","","","""","","","""",""Forerunner305"","
16","","","2011-03-19T13:57:43Z","Running","","","","""","","","""",""Forerunner305"","
17","1","","2011-03-22T13:52:46Z","Biking","","","","""","","","""",""Forerunner305"","
18","","1","2011-03-22T13:54:20Z","Running","","","","""","","","""",""Forerunner305"","

MultiSportSession Table
RecID","StartTime","Notes","
1","2011-03-22T13:52:46Z","""","

NextSport Table
RecID","MultiSportSessionRecID","
1","1","

ActivityLap Table
RecID","ActivityRecID","NextSportRecID","StartTime","TotalTimeSeconds","DistanceMeters","MaximumSpeed","Calories","AverageHeartRateBpm","MaximumHeartRateBpm","Intensity","AverageCadence","TriggerMethod","Notes","
1","2011-03-20T19:43:56Z","47.5868945","-122.2450750","79.4460449","91.8902588","90","","Absent","
1","2011-03-20T19:44:02Z","47.5872937","-122.2450896","73.1976318","136.4226532","88","","Absent","
1","2011-03-20T19:44:07Z","47.5876669","-122.2450807","67.9102783","178.3453522","83","","Absent","
1","2011-03-20T19:44:09Z","47.5878098","-122.2450740","66.4682617","193.8801270","78","","Absent","
1","2011-03-20T19:44:13Z","47.5880118","-122.2452040","64.0650635","219.1917114","77","","Absent","
1","2011-03-20T19:44:15Z","47.5880389","-122.2453564","63.5843506","231.4122009","75","","Absent","
1","2011-03-20T19:44:17Z","47.5880525","-122.2455299","62.1423340","244.5911255","69","","Absent","
1","2011-03-20T19:44:18Z","47.5880600","-122.2456211","61.1810303","251.5133667","70","","Absent","
1","2011-03-20T19:44:23Z","47.5880735","-122.2460922","56.3745117","287.3745422","70","","Absent","
1","2011-03-20T19:44:25Z","47.5880605","-122.2463276","53.0097656","305.2341919","68","","Absent","
1","2011-03-20T19:44:29Z","47.5879971","-122.2467565","47.7225342","337.9894409","67","","Absent","
1","2011-03-20T19:44:31Z","47.5879389","-122.2469073","45.7999268","350.8876648","67","","Absent","
1","2011-03-20T19:44:34Z","47.5878371","-122.2470989","43.3966064","369.3820801","64","","Absent","
1","2011-03-20T19:44:37Z","47.5876904","-122.2473422","39.0706787","394.4323120","62","","Absent","
1","2011-03-20T19:44:40Z","47.5874726","-122.2475578","37.6286621","423.5473938","56","","Absent","
1","2011-03-20T19:44:41Z","47.5873856","-122.2476153","37.1480713","434.3728027","56","","Absent","
1","2011-03-20T19:44:44Z","47.5871477","-122.2477785","36.6674805","462.8188782","55","","Absent","
1","2011-03-20T19:44:47Z","47.5869540","-122.2478890","33.7834473","485.7014465","55","","Absent","
1","2011-03-20T19:44:51Z","47.5868272","-122.2480526","33.3028564","504.4434204","53","","Absent","
1","2011-03-20T19:44:56Z","47.5866256","-122.2481837","30.4188232","529.9606934","54","","Absent","
1","2011-03-20T19:44:59Z","47.5864490","-122.2482565","29.9381104","550.3267822","55","","Absent","
1","2011-03-20T19:45:04Z","47.5859662","-122.2485043","25.6123047","607.2785645","61","","Absent","
1","2011-03-20T19:45:07Z","47.5856356","-122.2486570","23.6895752","645.8067627","69","","Absent","
1","2011-03-20T19:45:11Z","47.5851703","-122.2487996","23.2089844","698.7987061","74","","Absent","
1","2011-03-20T19:45:17Z","47.5844307","-122.2490284","20.3249512","782.8877563","79","","Absent","
1","2011-03-20T19:45:23Z","47.5836539","-122.2492222","16.9604492","870.6207886","82","","Absent","
1","2011-03-20T19:45:28Z","47.5830048","-122.2490640","19.3637695","944.4891357","82","","Absent","
1","2011-03-20T19:45:32Z","47.5825490","-122.2489134","23.2089844","996.2050171","82","","Absent","
1","2011-03-20T19:45:38Z","47.5819585","-122.2487234","26.0928955","1062.7764893","83","","Absent","
1","2011-03-20T19:45:43Z","47.5814533","-122.2486354","21.2863770","1120.2008057","85","","Absent","
1","2011-03-20T19:45:49Z","47.5807839","-122.2486615","22.2475586","1194.6555176","88","","Absent","
1","2011-03-20T19:45:50Z","47.5806763","-122.2486491","21.2863770","1206.1308594","89","","Absent","
1","2011-03-20T19:45:54Z","47.5803043","-122.2484260","18.4023438","1251.2344971","91","","Absent","
1","2011-03-20T19:45:55Z","47.5802277","-122.2483401","19.3637695","1261.9199219","92","","Absent","
1","2011-03-20T19:45:58Z","47.5800547","-122.2481003","18.8830566","1288.0831299","94","","Absent","
1","2011-03-20T19:46:01Z","47.5799331","-122.2478724","18.8830566","1310.1107178","98","","Absent","
1","2011-03-20T19:46:07Z","47.5797013","-122.2475423","25.1317139","1345.6463623","99","","Absent","
1","2011-03-20T19:46:12Z","47.5795504","-122.2472783","26.0928955","1371.6303711","104","","Absent","
1","2011-03-20T19:46:17Z","47.5793999","-122.2470233","28.4962158","1397.0913086","109","","Absent","
1","2011-03-20T19:46:20Z","47.5793072","-122.2468658","28.0155029","1412.9967041","114","","Absent","
1","2011-03-20T19:46:24Z","47.5791736","-122.2466507","28.9769287","1434.8494873","120","","Absent","
1","2011-03-20T19:46:29Z","47.5789952","-122.2463970","30.8995361","1462.2957764","127","","Absent","
1","2011-03-20T19:46:31Z","47.5789253","-122.2462913","29.9381104","1473.3843994","129","","Absent","
1","2011-03-20T19:46:37Z","47.5787005","-122.2460197","28.4962158","1505.9578857","131","","Absent","
1","2011-03-20T19:46:40Z","47.5785716","-122.2459277","28.4962158","1521.5598145","132","","Absent","
1","2011-03-20T19:46:46Z","47.5783089","-122.2458174","34.2641602","1551.8266602","134","","Absent","
1","2011-03-20T19:46:48Z","47.5782401","-122.2457757","36.1867676","1560.1025391","134","","Absent","
1","2011-03-20T19:46:54Z","47.5780256","-122.2456569","38.1093750","1585.5931396","133","","Absent","
1","2011-03-20T19:47:00Z","47.5777873","-122.2454687","45.7999268","1615.5809326","133","","Absent","
1","2011-03-20T19:47:05Z","47.5775842","-122.2452599","50.6065674","1643.1142578","134","","Absent","
1","2011-03-20T19:47:10Z","47.5774098","-122.2450819","57.3358154","1666.8765869","135","","Absent","
1","2011-03-20T19:47:15Z","47.5772543","-122.2448747","58.2971191","1690.0091553","136","","Absent","
1","2011-03-20T19:47:21Z","47.5770094","-122.2445854","61.1810303","1724.8730469","136","","Absent","
1","2011-03-20T19:47:28Z","47.5767679","-122.2442559","62.1423340","1761.6018066","138","","Absent","
1","2011-03-20T19:47:36Z","47.5764706","-122.2438783","65.5070801","1804.9787598","138","","Absent","
1","2011-03-20T19:47:41Z","47.5763026","-122.2436096","65.9876709","1832.7585449","138","","Absent","
1","2011-03-20T19:47:44Z","47.5762260","-122.2434169","66.9489746","1849.3945312","138","","Absent","
1","2011-03-20T19:47:48Z","47.5761934","-122.2431463","65.5070801","1869.8833008","139","","Absent","
1","2011-03-20T19:47:54Z","47.5761975","-122.2427428","62.6229248","1900.2279053","139","","Absent","
1","2011-03-20T19:47:56Z","47.5761996","-122.2426109","61.1810303","1910.1123047","139","","Absent","
1","2011-03-20T19:47:59Z","47.5761691","-122.2424181","59.7391357","1925.2205811","140","","Absent","
